CF,NOME,DN,SALARIO
TRNDMN85B12C123X,Andrea Trenti,1985-02-12,2600
TRNDMN85B12C123X,Andrea Trenti,1985-02-12,-2600
PVRGLU90F22D456Y,Laura Pavarini,1990-07-22,3300
GMLRNC80D31E789Z,Claudio Gemelli,31-09-1980,2900
MRCDSP75E10F234W,Simona Mercadante,1975-11-10,3150
FNCGLP88G15H501V,Filippo Fanciulli,1988-01-15,2750
DMRCNZ92E18F205U,Daniele Moroni,1992-06-188,3050
SPRTMN78A20G345T,Simone Sportiello,1978-20-20,-550
GRLFRN83B25H501S,Giorgia Ferri,1983-02-25,2950
CNCLNZ87C30D612R,Concetta Lanza,30-06-1987,xxx
PPLGRD91D05E345Q,Paolo Pugliese,1991-05-05,3450
LDDRCR99R14F205U,Riccardo Loddo,1999-14-04,2100
LDDRCR99R14F205U,Riccardo Pippo,1999-04-14,abc
NGRMRT75D10E345W,Martina Polgatti,1975-10-10,3100
NGRMRT75D10E345W,Maria Santa,1975-10-10,3100
NGRMRT75345W,Maria Santa1,1975-??-10,3100
NGRMRT75345W,Maria Santa2,1975-10-10,-150
NGRMRT75345W,Maria Santa3,1975-10-10,250
ABCD1234EF567890,Z0l0 Rossi,1980-13-01,1600
LMNOPQ12RST345678,Giulia1 Bianchi,1990-02-30,2850
QRSTUV98XYZ123456,Alessandro Verdi,1995-11-31,abc
WXYZ1234ABCD56789,Federica Rossi,1992-00-12,0

